call_id,received_at,line,caller_ref,wait_seconds,talk_seconds,outcome,handled_by
C002480,20/02/2026 09:06:06,New Patients,P03576,9,180,answered,R01
C002481,20/02/2026 09:07:37,Main ,P01286,59,0,voicemail,
C002482,20/02/2026 09:13:44,New Patients,P00612,6,470,ANSWERED,R01
C002483,20/02/2026 09:25:37,Main,P03690,14,265,answered,R02
C002484,20/02/2026 09:31:31,Billing,P02492,4,207,answered,R04
C002485,20/02/2026 09:32:30,Main,P04106,21,117,answered,R03
C002486,20/02/2026 09:37:23,Main,P02377,7,82,Answered,R01
C002487,20/02/2026 09:43:27,Main,P03831,10,135,Answered,R03
C002488,20/02/2026 09:46:54,New Patients,P02207,10,581,Answered,R04
C002489,20/02/2026 09:54:09,New Patients,P03644,,142,Answered,R01
C002490,20/02/2026 09:59:17,Main,P03148,11,335,answered,R04
C002491,20/02/2026 10:00:22,Main,P03266,11,109,answered,R02
C002492,20/02/2026 10:04:33,Main,P01411,3,102,ANSWERED,R02
C002493,20/02/2026 10:10:24,New Patients ,P03400,10,257,answered,R02
C002494,20/02/2026 10:14:37,Main,P02664,17,277,ANSWERED,R01
C002495,20/02/2026 10:16:27,New Patients,P02426,21,187,answered,R02
C002496,20/02/2026 10:18:26,Main,P01912,15,262,answered,R04
C002497,20/02/2026 10:21:03,Main,P02444,3,135,ANSWERED,R03
C002498,20/02/2026 10:30:17,Main,P02727,,255,Answered,R01
C002499,20/02/2026 10:45:31,New Patients,P00100,6,558,answered,R04
C002500,20/02/2026 10:50:24,New Patients,P03990,12,211,answered,R01
C002501,20/02/2026 11:18:48,New Patients,P00108,3,263,answered,R03
C002502,20/02/2026 11:24:14,New Patients,P04032,27,175,ANSWERED,R03
C002503,20/02/2026 11:42:08,New Patients,P00155,7,363,ANSWERED,R03
C002504,20/02/2026 11:49:02,New Patients,P03541,13,183,answered,R01
C002505,20/02/2026 11:55:21,New Patients,P00738,17,675,ANSWERED,R03
C002506,20/02/2026 12:01:34,New Patients,P00144,11,535,answered,R02
C002507,20/02/2026 12:15:17,Main,P02971,14,140,answered,R03
C002508,20/02/2026 12:23:41,Billing,P01303,17,702,ANSWERED,R02
C002509,20/02/2026 12:45:49,Main,P03248,9,112,answered,R04
C002510,20/02/2026 12:50:10,Main ,P03518,8,216,answered,R04
C002511,20/02/2026 13:03:28,Main,P03937,,288,Answered,R04
C002512,20/02/2026 13:07:42,Main,P00021,29,0,abandoned,
C002513,20/02/2026 13:25:49,Billing,P00709,17,120,answered,R04
C002514,20/02/2026 13:52:59,Main,P03126,12,164,answered,R02
C002515,20/02/2026 14:04:32,Main,P01252,,126,ANSWERED,R01
C002516,20/02/2026 14:17:52,Billing,P00221,12,331,ANSWERED,R01
C002517,20/02/2026 14:23:42,New Patients,P03510,5,475,Answered,R03
C002518,20/02/2026 14:23:26,Billing,P02299,18,284,answered,R02
C002519,20/02/2026 15:07:55,Main,P02572,8,205,ANSWERED,R02
C002520,20/02/2026 15:43:38,New Patients,P00326,8,136,answered,R04
C002521,20/02/2026 15:44:24,Main,P02479,,193,answered,R02
C002522,20/02/2026 16:00:25,Main,P01722,,186,Answered,R03
C002523,20/02/2026 16:25:05,New Patients,P01478,6,378,answered,R01
C002523,20/02/2026 16:25:05,New Patients,P01478,6,378,answered,R01
C002524,20/02/2026 16:39:50,New Patients,P00818,18,332,ANSWERED,R03
C002525,20/02/2026 16:44:38,New Patients,P04185,4,233,answered,R04
C002526,20/02/2026 17:01:24,Main,P00971,5,186,answered,R03
C002527,20/02/2026 17:01:54,New Patients,P01893,10,168,answered,R04
C002528,20/02/2026 17:20:32,Main,P02489,13,148,answered,R04
C002529,20/02/2026 17:24:31,New Patients,P01846,6,203,answered,R03
C002530,20/02/2026 17:52:49,Main,P00832,14,132,ANSWERED,R03
C002531,23/02/2026 08:15:58,New Patients,P01207,9,322,answered,R02
C002532,23/02/2026 08:16:47,New Patients,P02493,17,231,answered,R01
C002533,23/02/2026 08:21:27,Main,P02843,50,0,VOICEMAIL,
C002534,23/02/2026 08:37:54,New Patients,P00197,14,479,answered,R02
C002535,23/02/2026 08:43:41,Main,P02086,10,294,Answered,R01
C002536,23/02/2026 08:51:21,Main,P03990,12,220,Answered,R02
C002537,23/02/2026 08:55:18,Main,P01324,18,161,answered,R01
C002538,23/02/2026 09:01:30,Billing ,P00811,13,329,Answered,R01
C002539,23/02/2026 09:04:08,Main,P00480,10,186,Answered,R02
C002540,23/02/2026 09:10:12,New Patients,P01028,4,194,answered,R02
C002541,23/02/2026 09:29:35,New Patients,P00235,3,381,answered,R01
C002542,23/02/2026 09:33:26,Billing,P03405,15,230,ANSWERED,R03
C002543,23/02/2026 09:38:58,Main,P00639,12,170,answered,R01
C002544,23/02/2026 09:41:57,Main,P01049,13,123,answered,R02
C002545,23/02/2026 09:52:30,Billing,P03586,4,234,answered,R04
C002546,23/02/2026 09:53:07,New Patients,P00592,4,206,ANSWERED,R02
C002547,23/02/2026 09:55:58,Main ,P00221,11,153,Answered,R01
C002548,23/02/2026 10:02:35,Main,P02517,20,299,answered,R02
C002549,23/02/2026 10:04:41,Main,P04011,7,246,answered,R01
C002550,23/02/2026 10:06:43,Main,P02744,10,204,Answered,R04
C002551,23/02/2026 10:09:46,Main,P02153,8,251,Answered,R02
C002552,23/02/2026 10:12:30,Billing,P02221,11,373,ANSWERED,R03
C002553,23/02/2026 10:14:23,Main,P01874,16,146,Answered,R04
C002554,23/02/2026 10:56:09,Main ,P00686,9,232,ANSWERED,R03
C002555,23/02/2026 11:06:13,Main,P00938,5,197,ANSWERED,R03
C002556,23/02/2026 11:06:31,Main,P00067,,109,answered,R02
C002557,23/02/2026 11:10:06,New Patients ,P03481,6,315,Answered,R01
C002558,23/02/2026 11:14:05,New Patients,P03936,8,203,Answered,R02
C002559,23/02/2026 11:19:31,Billing,P02050,,180,Answered,R02
C002560,23/02/2026 11:27:33,New Patients ,P00636,12,135,answered,R04
C002561,23/02/2026 11:49:04,Main,P02468,5,222,answered,R02
C002562,23/02/2026 11:55:03,Main,P02157,15,231,answered,R02
C002563,23/02/2026 11:57:58,Main,P00445,16,132,ANSWERED,R01
C002564,23/02/2026 12:17:50,New Patients,P02675,7,113,answered,R02
C002565,23/02/2026 12:23:09,Main,P03308,5,117,ANSWERED,R04
C002566,23/02/2026 12:39:09,Main,P03292,9,278,Answered,R04
C002567,23/02/2026 12:40:55,Main,P01120,34,0,ABANDONED,
C002568,23/02/2026 12:40:11,Billing,P01069,24,0,ABANDONED,
C002569,23/02/2026 12:55:04,Main,P03095,7,263,answered,R04
C002570,23/02/2026 12:55:19,Main,P01702,16,0,abandoned,
C002571,23/02/2026 13:00:33,Main,P00828,13,0,Abandoned,
C002572,23/02/2026 13:01:53,Main,P00957,3,70,ANSWERED,R04
C002573,23/02/2026 13:01:25,New Patients,P02321,23,0,abandoned,
C002574,23/02/2026 13:04:32,Main,P02441,13,179,answered,R04
C002575,23/02/2026 13:05:37,Main,P01584,21,0,abandoned,
C002576,23/02/2026 13:12:57,Billing ,P02028,,408,answered,R04
C002577,23/02/2026 13:16:23,New Patients,P01987,4,0,abandoned,
C002578,23/02/2026 13:27:44,Main,P03866,4,97,answered,R04
C002579,23/02/2026 13:44:24,Main,P03143,4,273,ANSWERED,R02
C002580,23/02/2026 14:19:26,Billing,P03029,13,431,answered,R01
C002581,23/02/2026 14:47:23,Main,P00863,12,132,ANSWERED,R03
C002582,23/02/2026 14:56:42,Main,P03618,12,325,Answered,R03
C002583,23/02/2026 14:59:21,Main,P01708,,295,Answered,R04
C002584,23/02/2026 15:07:09,New Patients,P01263,3,420,answered,R03
C002585,23/02/2026 15:10:12,Main,P02776,17,480,Answered,R02
C002586,23/02/2026 15:22:27,New Patients,P01840,13,211,ANSWERED,R03
C002587,23/02/2026 15:26:40,Main,P00215,10,198,Answered,R02
C002588,23/02/2026 15:27:57,Main,P00633,,248,ANSWERED,R03
C002589,23/02/2026 15:41:03,New Patients,P01612,13,304,Answered,R04
C002589,23/02/2026 15:41:03,New Patients,P01612,13,304,Answered,R04
C002590,23/02/2026 15:53:52,Main,P01361,11,304,answered,R01
C002591,23/02/2026 15:59:07,Main,P00157,14,152,answered,R04
C002592,23/02/2026 16:01:25,Billing,P03263,4,265,answered,R01
C002593,23/02/2026 16:19:22,Main,P02278,8,224,answered,R02
C002594,23/02/2026 16:31:37,New Patients,P01681,12,350,answered,R03
C002595,23/02/2026 16:32:42,New Patients,P02463,11,92,answered,R04
C002596,23/02/2026 16:33:24,Main,P03389,79,0,voicemail,
C002597,23/02/2026 16:39:14,New Patients,P03770,3,382,Answered,R03
C002598,23/02/2026 16:56:01,Main,P01808,3,119,ANSWERED,R03
C002599,23/02/2026 17:08:17,Main,P02023,8,242,Answered,R04
C002600,23/02/2026 17:08:34,Main,P03435,7,221,answered,R03
C002600,23/02/2026 17:08:34,Main,P03435,7,221,answered,R03
C002601,23/02/2026 17:17:04,New Patients,P02306,13,358,answered,R03
C002602,23/02/2026 17:38:05,New Patients,P04044,,375,answered,R03
C002603,23/02/2026 17:41:26,New Patients ,P00390,,349,Answered,R04
C002604,24/02/2026 08:03:38,New Patients,P01746,,301,ANSWERED,R02
C002605,24/02/2026 08:11:07,Main,P00653,10,361,answered,R01
C002606,24/02/2026 08:21:18,New Patients,P03105,14,149,answered,R01
C002607,24/02/2026 08:36:26,New Patients ,P00624,16,187,answered,R01
C002608,24/02/2026 08:36:20,New Patients,P03550,3,228,answered,R02
C002609,24/02/2026 08:42:04,Main,P04071,13,219,ANSWERED,R02
C002610,24/02/2026 08:45:36,Billing,P03822,6,200,answered,R01
C002611,24/02/2026 08:48:58,Billing,P01810,6,191,Answered,R02
C002612,24/02/2026 08:48:54,Main,P02996,7,0,ABANDONED,
C002613,24/02/2026 08:50:41,Billing,P03673,8,226,ANSWERED,R01
C002614,24/02/2026 08:52:01,Main,P03007,20,0,ABANDONED,
C002615,24/02/2026 08:53:41,New Patients,P00680,23,0,abandoned,
C002616,24/02/2026 08:53:32,Billing ,P00912,80,0,voicemail,
C002617,24/02/2026 09:06:49,New Patients,P03449,9,127,ANSWERED,R01
C002618,24/02/2026 09:07:17,New Patients,P00043,28,262,answered,R02
C002619,24/02/2026 09:07:34,Billing,P00822,42,0,VOICEMAIL,
C002620,24/02/2026 09:08:07,Main,P03865,29,0,abandoned,
C002621,24/02/2026 09:10:35,Main,P01322,19,119,ANSWERED,R01
C002622,24/02/2026 09:15:38,Main,P00108,4,196,answered,R02
C002623,24/02/2026 09:31:14,Main,P00011,11,205,ANSWERED,R03
C002624,24/02/2026 09:46:28,Main,P00834,14,247,answered,R01
C002625,24/02/2026 09:50:50,Billing ,P01350,6,246,Answered,R04
C002626,24/02/2026 09:51:38,Billing,P02370,,194,answered,R02
C002627,24/02/2026 10:04:01,New Patients,P01969,3,163,answered,R01
C002628,24/02/2026 10:06:21,Billing,P00839,5,377,ANSWERED,R04
C002629,24/02/2026 10:08:26,New Patients,P01035,22,478,answered,R02
C002630,24/02/2026 10:12:14,New Patients,P02358,4,426,Answered,R01
C002631,24/02/2026 10:40:01,Main,P01819,7,186,answered,R03
C002632,24/02/2026 10:52:39,New Patients ,P01863,,352,answered,R04
C002633,24/02/2026 11:55:20,New Patients,P03643,4,462,answered,R03
C002634,24/02/2026 12:03:34,New Patients,P02648,19,338,answered,R02
C002635,24/02/2026 12:14:40,New Patients,P01529,,583,Answered,R01
C002636,24/02/2026 12:32:46,Main,P02442,15,285,ANSWERED,R04
C002637,24/02/2026 12:38:15,Main,P02717,11,0,Abandoned,
C002638,24/02/2026 12:42:59,Main,P02240,7,173,ANSWERED,R04
C002639,24/02/2026 12:55:14,Main,P00567,9,221,answered,R04
C002640,24/02/2026 13:01:25,New Patients,P04195,12,339,answered,R04
C002641,24/02/2026 13:23:20,Main,P02469,19,289,Answered,R04
C002642,24/02/2026 13:45:02,New Patients,P00075,8,212,ANSWERED,R03
C002643,24/02/2026 13:48:55,Main,P03723,13,111,ANSWERED,R01
C002644,24/02/2026 15:19:36,Main,P00885,3,324,answered,R03
C002645,24/02/2026 15:36:48,New Patients,P00123,7,232,Answered,R02
C002645,24/02/2026 15:36:48,New Patients,P00123,7,232,Answered,R02
C002646,24/02/2026 15:48:40,Main,P01183,6,138,answered,R03
C002647,24/02/2026 16:11:08,New Patients,P01142,3,227,answered,R04
C002648,24/02/2026 16:17:18,New Patients,P03214,17,350,Answered,R02
C002649,24/02/2026 16:19:07,Billing,P01138,,163,answered,R01
C002650,24/02/2026 16:33:52,Main,P01973,14,291,ANSWERED,R03
C002651,24/02/2026 16:44:02,Main ,P00271,4,129,Answered,R03
C002652,24/02/2026 16:50:15,Main ,P02936,9,89,ANSWERED,R03
C002653,24/02/2026 16:58:38,New Patients,P01734,10,365,ANSWERED,R04
C002654,24/02/2026 17:01:53,Main,P00477,12,165,Answered,R03
C002655,24/02/2026 17:03:04,Main,P02301,70,0,voicemail,
C002656,24/02/2026 17:06:57,Main,P03019,14,288,ANSWERED,R04
C002657,24/02/2026 17:20:13,Main,P00004,7,268,answered,R04
C002658,24/02/2026 17:27:04,Main,P01920,18,142,answered,R03
C002659,24/02/2026 17:32:00,Main,P03088,6,178,ANSWERED,R04
C002660,24/02/2026 17:44:05,New Patients,P00969,15,481,answered,R04
C002661,25/02/2026 08:14:56,New Patients,P00847,6,387,answered,R02
C002662,25/02/2026 08:16:27,Billing,P01723,5,152,Answered,R01
C002663,25/02/2026 08:19:31,Main,P01805,31,0,voicemail,
C002664,25/02/2026 08:35:15,Main,P02291,18,294,answered,R02
C002665,25/02/2026 08:36:27,Main ,P02994,4,136,ANSWERED,R01
C002666,25/02/2026 08:40:26,Main,P02283,19,490,answered,R01
C002667,25/02/2026 08:41:36,New Patients ,P02580,15,0,ABANDONED,
C002668,25/02/2026 08:42:55,Main,P03139,10,262,answered,R02
C002669,25/02/2026 08:47:11,Main,P01036,68,0,VOICEMAIL,
C002670,25/02/2026 08:48:44,New Patients,P01896,33,0,Voicemail,
C002671,25/02/2026 08:59:42,Main ,P03612,8,206,answered,R01
C002672,25/02/2026 09:03:29,Main,P00036,23,135,answered,R02
C002673,25/02/2026 09:04:36,New Patients,P00052,12,0,ABANDONED,
C002674,25/02/2026 09:06:03,Main,P01122,15,102,answered,R01
C002675,25/02/2026 09:07:18,Main,P01668,16,0,abandoned,
C002676,25/02/2026 09:08:44,Main,P01180,6,97,answered,R02
C002677,25/02/2026 09:12:25,Main,P02210,23,182,Answered,R02
C002678,25/02/2026 09:13:04,Main,P01800,15,287,answered,R01
C002679,25/02/2026 09:16:56,Billing,P01242,26,0,Abandoned,
C002680,25/02/2026 09:22:32,New Patients,P02394,8,379,ANSWERED,R02
C002681,25/02/2026 09:29:40,Main,P03322,7,243,answered,R01
C002682,25/02/2026 09:32:23,New Patients,P02344,,630,answered,R03
C002683,25/02/2026 09:45:58,Billing,P02294,12,179,Answered,R01
C002684,25/02/2026 09:50:30,New Patients,P01763,11,193,Answered,R03
C002685,25/02/2026 09:59:02,Main,P00492,10,193,answered,R01
C002686,25/02/2026 10:00:25,Main,P00559,17,150,Answered,R02
C002687,25/02/2026 10:09:17,Main,P04170,13,144,Answered,R03
C002688,25/02/2026 10:13:12,Main,P01780,11,153,Answered,R02
C002689,25/02/2026 10:19:53,Main,P00099,16,156,Answered,R01
C002690,25/02/2026 10:19:38,New Patients,P02149,5,586,ANSWERED,R02
C002691,25/02/2026 10:22:51,New Patients,P01673,6,162,Answered,R04
C002692,25/02/2026 10:39:24,Main,P03461,,90,answered,R01
C002693,25/02/2026 10:53:13,Main,P01655,10,289,ANSWERED,R02
C002694,25/02/2026 10:58:20,Main ,P02094,11,213,answered,R03
C002695,25/02/2026 11:00:49,Main,P01229,4,145,ANSWERED,R04
C002696,25/02/2026 11:02:29,New Patients,P01337,13,196,Answered,R02
C002697,25/02/2026 11:07:27,Billing,P03949,6,118,ANSWERED,R03
C002698,25/02/2026 11:07:50,New Patients,P01705,8,904,Answered,R01
C002699,25/02/2026 11:07:51,Main,P01676,15,185,answered,R02
C002700,25/02/2026 11:28:03,New Patients ,P02090,4,179,Answered,R03
C002701,25/02/2026 11:46:00,Main,P01031,15,229,answered,R03
C002702,25/02/2026 11:54:55,New Patients,P03866,6,481,Answered,R02
C002703,25/02/2026 11:55:46,New Patients,P01368,11,305,answered,R03
C002704,25/02/2026 11:56:28,Main,P04129,,65,answered,R04
C002705,25/02/2026 12:05:18,Billing,P01200,12,330,answered,R01
C002706,25/02/2026 12:20:42,Main,P00425,10,271,answered,R03
C002707,25/02/2026 12:28:45,Main,P03848,9,214,answered,R01
C002708,25/02/2026 12:30:38,New Patients,P02867,4,265,answered,R04
C002709,25/02/2026 12:40:18,New Patients,P03094,13,269,ANSWERED,R04
C002710,25/02/2026 12:40:23,Billing,P03112,77,0,VOICEMAIL,
C002711,25/02/2026 12:43:53,Main,P03760,60,0,voicemail,
C002712,25/02/2026 12:43:15,Main,P00623,48,0,VOICEMAIL,
C002713,25/02/2026 12:51:07,Billing,P00109,19,234,ANSWERED,R04
C002714,25/02/2026 12:56:06,Main,P00937,10,303,Answered,R04
C002715,25/02/2026 13:04:45,Main,P03252,7,104,answered,R04
C002716,25/02/2026 13:09:58,Main,P02144,9,417,answered,R04
C002717,25/02/2026 13:19:11,New Patients,P01808,6,195,answered,R04
C002718,25/02/2026 13:24:57,Main ,P03301,16,255,ANSWERED,R04
C002719,25/02/2026 13:40:23,New Patients,P03385,4,688,answered,R03
C002720,25/02/2026 13:43:37,Main,P01164,12,167,answered,R02
C002721,25/02/2026 14:12:42,Billing,P04081,9,519,answered,R03
C002722,25/02/2026 14:51:01,Main,P03205,9,172,ANSWERED,R01
C002723,25/02/2026 15:33:46,New Patients,P02769,10,495,answered,R03
C002724,25/02/2026 15:59:13,Main,P01624,12,149,answered,R02
C002725,25/02/2026 16:44:38,Main,P01645,11,288,answered,R03
C002726,25/02/2026 16:51:19,New Patients,P00541,10,323,ANSWERED,R04
C002727,25/02/2026 16:51:21,New Patients,P00368,10,152,Answered,R03
C002728,25/02/2026 16:53:03,New Patients,P01473,43,0,VOICEMAIL,
C002729,25/02/2026 17:02:49,New Patients ,P01886,18,363,Answered,R03
C002730,25/02/2026 17:27:08,Main,P01396,3,199,answered,R03
C002731,25/02/2026 17:34:44,New Patients,P03516,,407,ANSWERED,R03
C002732,26/02/2026 08:06:37,New Patients,P02384,9,535,answered,R01
C002733,26/02/2026 08:16:25,Main,P00574,5,744,answered,R02
C002734,26/02/2026 08:16:53,Main,P00761,29,0,VOICEMAIL,
C002735,26/02/2026 08:17:40,Billing,P03511,12,267,answered,R01
C002736,26/02/2026 08:19:29,Main,P03664,62,0,Voicemail,
C002737,26/02/2026 08:41:06,Billing,P01909,4,401,answered,R01
C002738,26/02/2026 08:48:17,New Patients,P01229,7,315,ANSWERED,R02
C002739,26/02/2026 08:51:11,Main,P00189,7,259,answered,R01
C002740,26/02/2026 08:53:35,Main,P01549,23,0,abandoned,
C002741,26/02/2026 08:55:16,Main,P01378,12,211,ANSWERED,R02
C002742,26/02/2026 09:03:50,New Patients,P03154,15,333,Answered,R02
C002743,26/02/2026 09:07:44,New Patients,P02362,17,382,answered,R01
C002744,26/02/2026 09:24:58,Main,P02270,,407,answered,R02
C002745,26/02/2026 09:26:41,Main ,P00408,15,202,Answered,R01
C002746,26/02/2026 09:31:34,Main,P03053,8,116,ANSWERED,R01
C002747,26/02/2026 09:37:55,New Patients,P03432,20,601,ANSWERED,R03
C002748,26/02/2026 09:42:13,Main,P01625,3,378,ANSWERED,R02
C002749,26/02/2026 09:44:42,Main,P03209,3,193,answered,R04
C002750,26/02/2026 10:08:49,New Patients,P03873,8,309,ANSWERED,R03
C002751,26/02/2026 10:12:19,Billing,P03347,8,275,answered,R04
C002752,26/02/2026 10:14:46,Main,P03528,10,89,answered,R02
C002753,26/02/2026 10:21:03,Main,P01433,7,173,Answered,R03
C002754,26/02/2026 10:33:28,Main,P02297,19,301,Answered,R02
C002755,26/02/2026 10:39:50,Main,P04015,3,363,answered,R01
C002756,26/02/2026 10:47:07,Billing,P00040,7,219,ANSWERED,R02
C002757,26/02/2026 10:47:21,Main,P01087,8,109,answered,R04
C002758,26/02/2026 10:48:52,Main,P00531,16,371,ANSWERED,R01
C002759,26/02/2026 10:50:42,Main,P04027,3,230,ANSWERED,R04
C002760,26/02/2026 10:54:09,Main,P00240,13,73,answered,R03
C002761,26/02/2026 10:54:33,New Patients,P03116,8,437,ANSWERED,R02
C002762,26/02/2026 11:06:40,Main,P01831,,159,answered,R02
C002763,26/02/2026 11:10:42,New Patients,P00336,5,335,answered,R01
C002764,26/02/2026 11:11:59,Billing,P02494,11,378,ANSWERED,R03
C002765,26/02/2026 11:19:24,New Patients,P01112,3,281,answered,R02
C002766,26/02/2026 11:22:55,Main,P01151,,160,ANSWERED,R01
C002766,26/02/2026 11:22:55,Main,P01151,,160,ANSWERED,R01
C002767,26/02/2026 11:23:32,New Patients,P03485,,436,answered,R04
C002768,26/02/2026 11:34:05,Main,P00971,8,209,answered,R04
C002769,26/02/2026 11:38:27,New Patients,P03535,9,686,Answered,R01
C002770,26/02/2026 11:39:58,New Patients,P00486,3,793,answered,R03
C002771,26/02/2026 11:50:48,New Patients,P03431,18,104,answered,R04
C002772,26/02/2026 11:53:52,Main,P01878,6,214,answered,R01
C002773,26/02/2026 12:14:15,Main,P02440,14,229,ANSWERED,R03
C002774,26/02/2026 12:16:45,Main,P03862,9,177,answered,R02
C002775,26/02/2026 12:22:54,Main,P00199,,214,ANSWERED,R03
C002776,26/02/2026 12:29:43,New Patients,P02451,,107,Answered,R02
C002777,26/02/2026 12:39:01,New Patients,P01285,12,293,answered,R04
C002778,26/02/2026 12:40:24,Main,P00940,71,0,voicemail,
C002779,26/02/2026 12:42:58,Billing ,P02784,42,0,VOICEMAIL,
C002780,26/02/2026 12:42:39,Main ,P01325,55,0,Voicemail,
C002781,26/02/2026 12:51:37,Main,P00439,5,109,Answered,R04
C002782,26/02/2026 12:54:49,New Patients,P03253,10,389,answered,R04
C002783,26/02/2026 12:55:43,Main ,P01122,34,0,Voicemail,
C002784,26/02/2026 12:58:47,Main,P00009,14,0,abandoned,
C002785,26/02/2026 13:01:12,New Patients,P00664,48,0,ABANDONED,
C002786,26/02/2026 13:02:47,Main,P02246,21,142,ANSWERED,R04
C002787,26/02/2026 13:03:35,New Patients ,P02000,60,0,VOICEMAIL,
C002788,26/02/2026 13:04:03,New Patients,P01746,45,0,VOICEMAIL,
C002789,26/02/2026 13:12:49,Main ,P02591,15,178,answered,R04
C002790,26/02/2026 13:15:26,Main,P00070,48,0,VOICEMAIL,
C002791,26/02/2026 13:19:09,New Patients,P03763,4,257,Answered,R04
C002792,26/02/2026 13:22:15,Main,P03474,56,0,VOICEMAIL,
C002793,26/02/2026 13:22:04,New Patients,P01083,25,0,abandoned,
C002794,26/02/2026 13:26:00,Main,P02569,9,90,ANSWERED,R04
C002795,26/02/2026 13:29:47,Main,P01385,14,250,answered,R04
C002796,26/02/2026 13:33:00,Main ,P00630,6,274,ANSWERED,R03
C002797,26/02/2026 13:35:45,Main,P00705,11,219,answered,R02
C002798,26/02/2026 14:24:30,Main,P03983,6,97,answered,R02
C002799,26/02/2026 14:44:50,Billing,P03742,9,223,ANSWERED,R01
C002800,26/02/2026 14:45:49,Main,P02627,12,194,answered,R02
C002801,26/02/2026 15:05:23,New Patients,P00660,16,424,answered,R03
C002802,26/02/2026 15:19:27,Main,P03872,4,172,Answered,R02
C002803,26/02/2026 15:25:48,Main,P01936,4,166,answered,R04
C002804,26/02/2026 15:55:47,New Patients,P04100,9,223,answered,R04
C002805,26/02/2026 16:07:31,Main,P03127,4,334,Answered,R04
C002806,26/02/2026 16:10:10,Main,P00807,4,185,answered,R01
C002807,26/02/2026 16:11:11,New Patients,P01782,5,148,answered,R03
C002808,26/02/2026 16:16:40,Main,P01678,26,176,Answered,R02
C002809,26/02/2026 16:26:34,New Patients,P03069,9,248,ANSWERED,R02
C002810,26/02/2026 16:26:36,New Patients,P01698,8,230,ANSWERED,R03
C002811,26/02/2026 16:30:49,Main,P04183,10,289,Answered,R04
C002812,26/02/2026 16:42:05,Billing,P00025,8,110,ANSWERED,R03
C002813,26/02/2026 16:45:07,New Patients,P01484,13,636,answered,R04
C002814,26/02/2026 16:50:16,New Patients,P01374,15,338,answered,R03
C002815,26/02/2026 16:53:05,Main,P01190,44,0,voicemail,
C002816,26/02/2026 16:53:33,New Patients,P01396,30,0,abandoned,
C002817,26/02/2026 16:56:28,Main ,P00717,66,0,voicemail,
C002818,26/02/2026 17:14:53,New Patients,P03281,13,406,ANSWERED,R03
C002819,26/02/2026 17:16:38,New Patients,P02065,,631,ANSWERED,R04
C002820,26/02/2026 17:22:07,Main,P01321,63,0,Voicemail,
C002821,26/02/2026 17:35:35,Main,P03353,15,340,ANSWERED,R04
C002822,26/02/2026 17:38:45,New Patients,P00836,,421,ANSWERED,R03
C002823,26/02/2026 17:39:26,Main ,P01993,28,0,abandoned,
C002824,26/02/2026 17:41:53,Main,P00772,11,0,abandoned,
C002825,26/02/2026 17:48:13,Main,P01459,13,88,ANSWERED,R04
C002826,26/02/2026 17:52:03,Main ,P04155,20,301,ANSWERED,R03
C002827,27/02/2026 08:09:00,Main,P01704,7,129,answered,R02
C002828,27/02/2026 08:28:39,Billing,P03853,11,255,Answered,R02
C002829,27/02/2026 08:29:46,Main,P03512,,196,answered,R01
C002830,27/02/2026 08:43:21,Main,P01441,18,174,answered,R01
C002831,27/02/2026 08:56:12,New Patients,P00762,6,442,answered,R02
C002832,27/02/2026 08:59:14,Billing,P03710,10,235,answered,R01
C002833,27/02/2026 09:02:10,New Patients,P00092,54,0,voicemail,
C002834,27/02/2026 09:11:46,New Patients,P02215,12,414,ANSWERED,R01
C002835,27/02/2026 09:14:00,Main,P00503,6,261,answered,R02
C002836,27/02/2026 09:18:19,Main,P00819,40,0,VOICEMAIL,
C002837,27/02/2026 09:24:01,Main,P01378,9,262,answered,R02
C002837,27/02/2026 09:24:01,Main,P01378,9,262,answered,R02
C002838,27/02/2026 09:24:38,Main,P02290,,500,answered,R01
C002839,27/02/2026 09:26:42,Main,P03370,26,0,abandoned,
C002840,27/02/2026 09:28:21,New Patients,P03489,46,0,Voicemail,
C002841,27/02/2026 09:36:34,Main,P02245,,103,Answered,R01
C002842,27/02/2026 09:37:08,New Patients,P00533,3,293,ANSWERED,R02
C002843,27/02/2026 09:41:04,Main,P02661,5,197,ANSWERED,R01
C002844,27/02/2026 09:44:17,New Patients,P00579,,358,answered,R02
C002845,27/02/2026 09:45:42,Main,P01438,6,180,answered,R03
C002846,27/02/2026 09:55:34,Billing ,P03469,5,393,Answered,R02
C002847,27/02/2026 10:13:01,Main,P02049,13,216,answered,R01
C002848,27/02/2026 10:16:18,New Patients,P01889,,132,ANSWERED,R03
C002849,27/02/2026 10:21:33,Main ,P03479,4,174,answered,R02
C002850,27/02/2026 10:21:47,New Patients,P01885,8,213,Answered,R01
C002851,27/02/2026 10:24:18,New Patients,P03574,8,425,Answered,R04
C002852,27/02/2026 10:28:13,Main,P01447,,202,answered,R02
C002853,27/02/2026 10:34:39,Main,P00178,15,305,ANSWERED,R03
C002854,27/02/2026 10:45:55,Billing,P02229,19,171,ANSWERED,R04
C002855,27/02/2026 11:02:16,Billing,P02322,11,393,answered,R03
C002856,27/02/2026 11:14:29,Main,P01650,18,208,ANSWERED,R01
C002857,27/02/2026 11:45:27,Main,P02251,8,168,answered,R03
C002858,27/02/2026 12:21:55,Main,P02116,,151,ANSWERED,R04
C002859,27/02/2026 12:41:48,New Patients,P03550,13,290,answered,R04
